claim_id,report_id,ticker,agent_type,claim_type,claim_text,evidence_id,evidence_source,expected_status
AAPL_risk_neutral_valuation_claim_001,AAPL_risk_neutral_valuation_report,AAPL,valuation,price_momentum_and_volatility,"The valuation agent recommends HOLD for AAPL under risk_neutral. The decision is based on January return -0.006680, annualized volatility 0.212183, and max drawdown -0.055231.",AAPL_PRICE_VOLUME_JAN2024,price_volume,supported
AAPL_risk_neutral_fundamental_claim_001,AAPL_risk_neutral_fundamental_report,AAPL,fundamental,sec_fundamental_score,"The fundamental agent recommends BUY for AAPL under risk_neutral. The SEC-derived fundamental score is 4, and debt-to-asset ratio is 0.8237407929480435.",AAPL_SEC_XBRL_SUMMARY_ASOF_2024-01-31,SEC_XBRL_COMPANYFACTS,supported
AAPL_risk_neutral_sentiment_claim_001,AAPL_risk_neutral_sentiment_report,AAPL,sentiment,public_news_sentiment,"The sentiment agent recommends BUY for AAPL under risk_neutral. The public-news keyword sentiment score is 0.666667, with 2 positive and 0 negative keyword hits.",AAPL_GDELT_202401_000,GDELT_NEWS,supported
AAPL_risk_neutral_multi_agent_claim_001,AAPL_risk_neutral_multi_agent_report,AAPL,multi_agent,consensus_decision,"The multi-agent consensus recommends BUY for AAPL under risk_neutral. The weighted consensus score is 0.720817, combining valuation, fundamental, and sentiment agents.",AAPL_risk_neutral_DEBATE,debate_log,supported
AAPL_risk_averse_valuation_claim_001,AAPL_risk_averse_valuation_report,AAPL,valuation,price_momentum_and_volatility,"The valuation agent recommends HOLD for AAPL under risk_averse. The decision is based on January return -0.006680, annualized volatility 0.212183, and max drawdown -0.055231.",AAPL_PRICE_VOLUME_JAN2024,price_volume,supported
AAPL_risk_averse_fundamental_claim_001,AAPL_risk_averse_fundamental_report,AAPL,fundamental,sec_fundamental_score,"The fundamental agent recommends HOLD for AAPL under risk_averse. The SEC-derived fundamental score is 4, and debt-to-asset ratio is 0.8237407929480435.",AAPL_SEC_XBRL_SUMMARY_ASOF_2024-01-31,SEC_XBRL_COMPANYFACTS,supported
AAPL_risk_averse_sentiment_claim_001,AAPL_risk_averse_sentiment_report,AAPL,sentiment,public_news_sentiment,"The sentiment agent recommends BUY for AAPL under risk_averse. The public-news keyword sentiment score is 0.666667, with 2 positive and 0 negative keyword hits.",AAPL_GDELT_202401_000,GDELT_NEWS,supported
AAPL_risk_averse_multi_agent_claim_001,AAPL_risk_averse_multi_agent_report,AAPL,multi_agent,consensus_decision,"The multi-agent consensus recommends HOLD for AAPL under risk_averse. The weighted consensus score is 0.332615, combining valuation, fundamental, and sentiment agents.",AAPL_risk_averse_DEBATE,debate_log,supported
AAPL_risk_seeking_valuation_claim_001,AAPL_risk_seeking_valuation_report,AAPL,valuation,price_momentum_and_volatility,"The valuation agent recommends HOLD for AAPL under risk_seeking. The decision is based on January return -0.006680, annualized volatility 0.212183, and max drawdown -0.055231.",AAPL_PRICE_VOLUME_JAN2024,price_volume,supported
AAPL_risk_seeking_fundamental_claim_001,AAPL_risk_seeking_fundamental_report,AAPL,fundamental,sec_fundamental_score,"The fundamental agent recommends BUY for AAPL under risk_seeking. The SEC-derived fundamental score is 4, and debt-to-asset ratio is 0.8237407929480435.",AAPL_SEC_XBRL_SUMMARY_ASOF_2024-01-31,SEC_XBRL_COMPANYFACTS,supported
AAPL_risk_seeking_sentiment_claim_001,AAPL_risk_seeking_sentiment_report,AAPL,sentiment,public_news_sentiment,"The sentiment agent recommends BUY for AAPL under risk_seeking. The public-news keyword sentiment score is 0.666667, with 2 positive and 0 negative keyword hits.",AAPL_GDELT_202401_000,GDELT_NEWS,supported
AAPL_risk_seeking_multi_agent_claim_001,AAPL_risk_seeking_multi_agent_report,AAPL,multi_agent,consensus_decision,"The multi-agent consensus recommends BUY for AAPL under risk_seeking. The weighted consensus score is 0.716117, combining valuation, fundamental, and sentiment agents.",AAPL_risk_seeking_DEBATE,debate_log,supported
MSFT_risk_neutral_valuation_claim_001,MSFT_risk_neutral_valuation_report,MSFT,valuation,price_momentum_and_volatility,"The valuation agent recommends BUY for MSFT under risk_neutral. The decision is based on January return 0.072020, annualized volatility 0.165478, and max drawdown -0.029630.",MSFT_PRICE_VOLUME_JAN2024,price_volume,supported
MSFT_risk_neutral_fundamental_claim_001,MSFT_risk_neutral_fundamental_report,MSFT,fundamental,sec_fundamental_score,"The fundamental agent recommends BUY for MSFT under risk_neutral. The SEC-derived fundamental score is 5, and debt-to-asset ratio is 0.4936479668818722.",MSFT_SEC_XBRL_SUMMARY_ASOF_2024-01-31,SEC_XBRL_COMPANYFACTS,supported
MSFT_risk_neutral_sentiment_claim_001,MSFT_risk_neutral_sentiment_report,MSFT,sentiment,public_news_sentiment,"The sentiment agent recommends HOLD for MSFT under risk_neutral. The public-news keyword sentiment score is 0.000000, with 2 positive and 2 negative keyword hits.",MSFT_GDELT_202401_000,GDELT_NEWS,supported
MSFT_risk_neutral_multi_agent_claim_001,MSFT_risk_neutral_multi_agent_report,MSFT,multi_agent,consensus_decision,"The multi-agent consensus recommends BUY for MSFT under risk_neutral. The weighted consensus score is 0.731761, combining valuation, fundamental, and sentiment agents.",MSFT_risk_neutral_DEBATE,debate_log,supported
MSFT_risk_averse_valuation_claim_001,MSFT_risk_averse_valuation_report,MSFT,valuation,price_momentum_and_volatility,"The valuation agent recommends BUY for MSFT under risk_averse. The decision is based on January return 0.072020, annualized volatility 0.165478, and max drawdown -0.029630.",MSFT_PRICE_VOLUME_JAN2024,price_volume,supported
MSFT_risk_averse_fundamental_claim_001,MSFT_risk_averse_fundamental_report,MSFT,fundamental,sec_fundamental_score,"The fundamental agent recommends BUY for MSFT under risk_averse. The SEC-derived fundamental score is 5, and debt-to-asset ratio is 0.4936479668818722.",MSFT_SEC_XBRL_SUMMARY_ASOF_2024-01-31,SEC_XBRL_COMPANYFACTS,supported
MSFT_risk_averse_sentiment_claim_001,MSFT_risk_averse_sentiment_report,MSFT,sentiment,public_news_sentiment,"The sentiment agent recommends HOLD for MSFT under risk_averse. The public-news keyword sentiment score is 0.000000, with 2 positive and 2 negative keyword hits.",MSFT_GDELT_202401_000,GDELT_NEWS,supported
MSFT_risk_averse_multi_agent_claim_001,MSFT_risk_averse_multi_agent_report,MSFT,multi_agent,consensus_decision,"The multi-agent consensus recommends BUY for MSFT under risk_averse. The weighted consensus score is 0.737301, combining valuation, fundamental, and sentiment agents.",MSFT_risk_averse_DEBATE,debate_log,supported
MSFT_risk_seeking_valuation_claim_001,MSFT_risk_seeking_valuation_report,MSFT,valuation,price_momentum_and_volatility,"The valuation agent recommends BUY for MSFT under risk_seeking. The decision is based on January return 0.072020, annualized volatility 0.165478, and max drawdown -0.029630.",MSFT_PRICE_VOLUME_JAN2024,price_volume,supported
MSFT_risk_seeking_fundamental_claim_001,MSFT_risk_seeking_fundamental_report,MSFT,fundamental,sec_fundamental_score,"The fundamental agent recommends BUY for MSFT under risk_seeking. The SEC-derived fundamental score is 5, and debt-to-asset ratio is 0.4936479668818722.",MSFT_SEC_XBRL_SUMMARY_ASOF_2024-01-31,SEC_XBRL_COMPANYFACTS,supported
MSFT_risk_seeking_sentiment_claim_001,MSFT_risk_seeking_sentiment_report,MSFT,sentiment,public_news_sentiment,"The sentiment agent recommends BUY for MSFT under risk_seeking. The public-news keyword sentiment score is 0.000000, with 2 positive and 2 negative keyword hits.",MSFT_GDELT_202401_000,GDELT_NEWS,supported
MSFT_risk_seeking_multi_agent_claim_001,MSFT_risk_seeking_multi_agent_report,MSFT,multi_agent,consensus_decision,"The multi-agent consensus recommends BUY for MSFT under risk_seeking. The weighted consensus score is 1.000000, combining valuation, fundamental, and sentiment agents.",MSFT_risk_seeking_DEBATE,debate_log,supported
NVDA_risk_neutral_valuation_claim_001,NVDA_risk_neutral_valuation_report,NVDA,valuation,price_momentum_and_volatility,"The valuation agent recommends BUY for NVDA under risk_neutral. The decision is based on January return 0.277342, annualized volatility 0.314089, and max drawdown -0.019865.",NVDA_PRICE_VOLUME_JAN2024,price_volume,supported
